CHAVE;DS_REGRA
101010010;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA
101010028;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA
101010036;PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO
101010044;PRÁTICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
101010052;TERAPIA COMUNITARIA
101010060;DANÇA CIRCULAR/BIODANÇA
101010079;YOGA
101010087;OFICINA DE MASSAGEM/ AUTO-MASSAGEM
101020015;AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL
101020023;AÇÃO COLETIVA DE BOCHECHO FLUORADO
101020031;AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA
101020040;AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA
101020058;APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)
101020066;APLICAÇÃO DE SELANTE (POR DENTE)
101020074;APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)
101020082;EVIDENCIAÇÃO DE PLACA BACTERIANA
101020090;SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA
101030010;VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
101030029;VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR
101040016;APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES
101040024;AVALIAÇÃO ANTROPOMÉTRICA
101040032;COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)
101040040;PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)
101040059;ADMINISTRAÇÃO DE VITAMINA A
101040067;APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES
101050011;PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
101050020;TERAPIA COMUNITÁRIA
101050038;DANÇA CIRCULAR/BIODANÇA
101050046;YOGA
101050054;OFICINA DE MASSAGEM/ AUTO-MASSAGEM
101050062;SESSÃO DE ARTETERAPIA
101050070;SESSÃO DE MEDITAÇÃO
101050089;SESSÃO DE MUSICOTERAPIA
101050097;SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE
101050100;SESSÃO DE BIODANÇA
101050119;SESSÃO DE BIOENERGÉTICA
101050127;SESSÃO DE CONSTELAÇÃO FAMILIAR
101050135;SESSÃO DE DANÇA CIRCULAR
101050143;SESSÃO DE TERMALISMO
102010013;APLICACAO DE MULTA
102010021;APLICACAO DE ADVERTENCIA
102010030;APLICACAO DE INTERDICAO DE PRODUTO
102010048;APLICACAO DE INTERDICAO PARCIAL / TOTAL DE ESTABELECIMENTO
