CAPITULO,COD_CID,DESCRICAO_CID,GRUPO
Capítulo I - Algumas doenças infecciosas e parasitárias,A00,Cólera,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A000,"Cólera devida a Vibrio Cholerae 01, biótipo Cholerae",Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A001,"Cólera devida a Vibrio Cholerae 01, biótipo El Tor",Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A009,Cólera năo especificada,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A01,Febres tifóide e paratifóide,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A010,Febre tifóide,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A011,Febre paratifóide A,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A012,Febre paratifóide B,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A013,Febre paratifóide C,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A014,Febre paratifóide năo especificada,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A02,Outras infecçőes por Salmonella,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A020,Enterite por salmonela,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A021,Septicemia por salmonela,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A022,Infecçőes localizadas por salmonela,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A028,Outras infecçőes especificadas por salmonela,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A029,Infecçăo năo especificada por salmonela,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A03,Shiguelose,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A030,Shiguelose devida a Shigella Dysenteriae,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A031,Shiguelose devida a Shigella Flexneri,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A032,Shiguelose devida a Shigella Boydii,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A033,Shiguelose devida a Shigella Sonnei,Doenças infecciosas intestinais
