cnes;razao_social;nome_fantasia;logradouro;numero;bairro;CEP;codigo_municipio;latitude;londitude;referencia
0029793;YOLANDA MELO A R DE A CARNEIRO                              ;YOLANDA MELO A R DE A CARNEIRO                              ;RUA CONSELHEIRO JOSE JULIO              ;617       ;CENTRO              ;62010820;231290;-3.6884548                    ;-40.3545572                   ;202104
0029807;CLINICA MEDICA GOMES EIRELI                                 ;PNEUMOCLINICA DO CEARA                                      ;RUA CORONEL JOSE INACIO                 ;371       ;CENTRO              ;62010790;231290;-3.6905891                    ;-40.3552665                   ;202104
0032913;CICERA PRICILA BRITO SOUSA                                  ;CLINICA DA FAMILIA                                          ;LUIZ ROLIM                              ;282       ;CENTRO              ;63220000;230320;-7.0430889481169165           ;-39.282957315444946           ;202104
0037761;CLINICA SANTA IZABEL                                        ;CLINICA SANTA IZABEL                                        ;RUA PADRE JOSE DE SOUZA                 ;22        ;CENTRO              ;63580000;230740;-6.523760                     ;-39.525774                    ;202104
0038997;CIBELE QUENTAL CALLOU                                       ;CIBELE QUENTAL CALLOU                                       ;MARIA NILDE COUTO BEM                   ;220       ;TRIANGULO           ;63041155;230730;-7.213                        ;-39.315                       ;202104
0039128;CLINICA MEDICA MAIS SAUDE EIRELI                            ;CLINICA MAIS SAUDE                                          ;JULISSES DE OLIVEIRA LOPES              ;46        ;CENTRO              ;62760000;230210;-4.330813458309603            ;-38.87608230113983            ;202104
0039640;MUNICIPIO DE CRUZ                                           ;UBS RITA PESSOA DA CUNHA                                    ;SOLIDAO                                 ;S/N       ;SOLIDAO             ;62595000;230425;-2.945980                     ;-40.416505                    ;202104
0041254;CLINICA DE DERMATOLOGIA DERMUS CARIRI LTDA                  ;DERMUS CARIRI                                               ;CATULO DA PAIXAO CEARENSE               ;175       ;TRIANGULO           ;63041162;230730;-7.213                        ;-39.315                       ;202104
0041874;UNIDADE BASICA DE SAUDE DE LAGOINHA                         ;UNIDADE BASICA DE SAUDE DE LAGOINHA                         ;RUA SDO                                 ;831       ;LAGOINHA            ;62886815;230523;-4.08456                      ;-38.50002                     ;202104
0043729;INGRID ALMEIDA LEITE SOMBRA                                 ;INGRID ALMEIDA LEITE SOMBRA                                 ;AV PADRE CICERO                         ;2555      ;TRIANGULO           ;63010970;230730;-7.223445                     ;-39.3238822                   ;202104
0046078;CLINICA DE OFTALMOLOGIA E ASSOCIADOS DO CARIRI LTDA         ;CLINICA DE OFTALMOLOGIA E ASSOCIADOS DO CARIRI LTDA         ;SETE DE SETEMBRO                        ;240       ;CENTRO              ;63180000;230190;-7.305                        ;-39.302                       ;202104
0046663;PREF M MONSENHOR TABOSA                                     ;EQUPE DE SAUDE DA FAMILIA DE SANTANA                        ;DISTRITO DE SANTANA                     ;S/N       ;ZONA RURAL          ;63780000;230860;-4.982873151697568            ;-40.0506591796875             ;202104
0046965;MSP SERVICOS DE ODONTOLOGIA EIRELI                          ;CLINICA DRA MANOELA PIMENTA                                 ;AVENDIA SANTOS DUMONT                   ;5753      ;PAPICU              ;60175047;230440;-3.741520                     ;-38.480162                    ;202104
0047287;PREFEITURA MUNICIPAL DE PARAMOTI                            ;ACADEMIA DA SAUDE DE PARAMOTI                               ;AVENIDA HONORATO FEIJO                  ;S/N       ;BELA VISTA          ;62736000;231040;-4.0960144                    ;-39.2437753                   ;202104
0049093;TIAGO RIBEIRO                                               ;LABORATORIO POPULAR RIBEIRO                                 ;AV PREFEITO VITORIANO ANTUNES           ;2332      ;CENTRO              ;62850000;230350;-4.1331307295923825           ;-38.23751538991928            ;202104
0049107;LABORATORIO DE ANALISES CLINICA DR ALDECY PIRES LTDA        ;LAP LABORATORIO DR ALDECY PIRES                             ;RUA 13 DE MAIO                          ;152       ;SAO VICENTE         ;63530000;230330;-6.533682                     ;-39.498543                    ;202104
0049247;AQUINO BELCHIOR SERVICOS MEDICOS HOSPITALARES S S LTDA      ;CLINICA DR ERIK NERY CIRURGIA PLASTICA                      ;RUA LIGIA MONTE                         ;220       ;COCO                ;60192360;230440;-3.748076                     ;-38.481232                    ;202104
0050008;JOANA DAYSE DA ROCHA PORTELA                                ;JOANA DAYSE                                                 ;AVENIDA LUCIANO CARNEIRO                ;2414      ;VILA UNIAO          ;60410691;230440;-3.768764                     ;-38.538141                    ;202104
0050016;MILENA VIANA DE HOLANDA                                     ;MILENA VIANA DE HOLANDA                                     ;RUA GONCALVES LEDO                      ;777       ;CENTRO              ;60060325;230440;-3.730623                     ;-38.515833                    ;202104
0050040;BENTO PACELLY DE FREITAS MEDEIROS                           ;BENTO PACELLY DE FREITAS MEDEIROS                           ;RUA ENGENHEIRO SERRAINE                 ;444       ;ANT BEZERRA         ;60356660;230440;-3.736996                     ;-38.585563                    ;202104
0050075;CLINICA OLHAR BRASIL LTDA                                   ;CENTRO DE ESPECIALIDADES E OFTALMOLOGIA                     ;RUA EMILIO SA                           ;100       ;MARAPONGA           ;60712045;230440;-3.801954                     ;-38.571190                    ;202104
0050091;PRIME OFTALMOLOGIA EIRELI                                   ;PRIME OFTALMOLOGIA                                          ;AVENIDA 13 DE MAIO                      ;1116      ;FATIMA              ;60040530;230440;-3.749217                     ;-38.529124                    ;202104
0050113;TRIVIO ODONTOLOGIA LTDA                                     ;TRIVIO                                                      ;RUA DOUTOR GILBERTO STUDART             ;55        ;COCO                ;60192105;230440;-3.741412                     ;-38.487253                    ;202104
0050148;ALINE MOREIRA GOMES                                         ;CONSULTORIO DE FISIOTERAPIA DRA ALINE GOMES                 ;RUA BARAO DO RIO BRANCO                 ;2027      ;JOSE BONIFACIO      ;60025062;230440;-3.735913                     ;-38.531231                    ;202104
0050768;MUNICIPIO DE MERUOCA                                        ;APAE DE MERUOCA                                             ;RUA DOM EXPEDITO                        ;S/N       ;CENTRO              ;62130000;230820;-3.542                        ;-40.455                       ;202104
0053309;CENTRO ODONTOLOGICO ROBERTA AMARAL LTDA                     ;CORA                                                        ;JERONIMO AMARAL                         ;424       ;CENTRO              ;61600135;230370;-3.7327297                    ;-38.6567366                   ;202104
0053406;MUNICIPIO DE OROS                                           ;UNIDADE BASICA DE SAUDE CENTRO II                           ;AVENIDA GABRIEL BEZERRA                 ;00        ;CENTRO              ;63520000;230950;-6.244                        ;-38.914                       ;202104
0053422;ANNE MAIANE FERREIRA                                        ;ANNE MAIANE FERREIRA                                        ;RUA JERONIMO AMARAL                     ;424       ;CENTRO              ;61600135;230370;-3.7361281                    ;-38.6570276                   ;202104
0054712;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA                      ;SUPERFRANGOLANDIA                                           ;LESTE 3                                 ;289       ;DISTRITO INDUSTRIAL ;61939080;230765;-3.877                        ;-38.626                       ;202104
0054755;ESPACO SALUD CENTRO DE ESPECIALIDADES LTDA                  ;ESPACO SALUD CENTRO DE ESPECIALIDADES LTDA                  ;4 CJ INDUSTRIAL                         ;15        ;INDUSTRIAL          ;61925020;230765;-3.877                        ;-38.626                       ;202104
0055964;CLINICA MEDICA NORTETRAN LTDA                               ;NORTETRAN                                                   ;AVENIDA MONSENHOR TABOSA                ;2987      ;COQUEIRO            ;62508018;230640;-3.484001                     ;-39.566754                    ;202104
0056561;MUNICIPIO DE MUCAMBO                                        ;UNIDADE BASICA DE SAUDE SEDE 4                              ;AVENIDA AGRONOMO JOSE ALVES             ;516       ;CENTRO              ;62170000;230900;-3.905192771319618            ;-40.743951201438904           ;202104
0057304;RAFAEL LIMA DE MENEZES                                      ;CLINICA DR RAFAEL                                           ;AVENIDA 08 DE NOVEMBRO                  ;744       ;CENTRO              ;63475000;230690;-5.891                        ;-38.622                       ;202104
0059048;CLINICA MEDICA E ODONTOLOGICA SAUDE INCLUSAO MEDICINA LTDA  ;CLINICA SIM                                                 ;CARLOS JEREISSATI                       ;100       ;JEREISSATI II       ;61901012;230765;-3.877                        ;-38.626                       ;202104
0061522;CLINICA SANTAMED LTDA                                       ;CLINICA SANTAMED                                            ;AVENIDA LINEU MACHADO                   ;419       ;JOQUEI CLUBE        ;60520101;230440;-3.764536                     ;-38.574434                    ;202104
0061913;BIOMED GASTRO CLINICA LTDA                                  ;BIOMED GASTRO                                               ;RUA CARLOS VASCONCELOS                  ;1921      ;ALDEOTA             ;60115171;230440;-3.738434                     ;-38.512498                    ;202104
0062227;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANINDE     ;CENTRO DE ATEND EDUCACIONAL ESPECIALIZADO PINGO DE OURO     ;CELIO MARTINS                           ;696       ;IMACULADA CONCEICAO ;62700000;230280;-4.350316028170159            ;-39.313952922821045           ;202104
0062561;J W FARIAS MELO BEZERRA DE MENEZES                          ;PROMEDIC SAUDE                                              ;RUA MONSENHOR EURICO                    ;124       ;CENTRO              ;62380000;230500;-4.1631748                    ;-40.749577                    ;202104
0063304;MEDCENTER SAUDE E IMAGEM LTDA                               ;MEDCENTER CLINICA E IMAGEM                                  ;AV DOM JOSE TUPINAMBA DA FROTA          ;2420      ;CENTRO              ;62010290;231290;-3.6920581                    ;-40.3582585                   ;202104
0063320;SILVIA INARA GOMES DA SILVA                                 ;SILVIA INARA GOMES DA SILVA                                 ;RUA PREFEITO JAIME ALENCAR              ;662       ;NOVO CENTRO         ;63430000;230540;-6.4053527                    ;-38.8601712                   ;202104
0064084;PREFEITURA MUNICIPAL DE SENADOR POMPEU                      ;ACADEMIA DA SAUDE EUNICE DE ARAUJO LOPES                    ;RUA ELADIO MAGALHAES                    ;00        ;CENTRO              ;63600000;231270;-5.587241714544168            ;-39.377596378326416           ;202104
0064297;JBL SERVICO DE CLINICA MEDICA LTDA                          ;CLINICA ARES                                                ;CAPITAO VALDEMAR DE LIMA                ;55        ;CENTRO              ;61900025;230765;-3.877                        ;-38.626                       ;202104
0066052;REGIS COELHO                                                ;CENTRO DE EQUOTERAPIA E EQUITACAO EQUOSOBRAL                ;RUA CONSELHEIRO JOSE JULIIO             ;617       ;CENTRO              ;62010820;231290;-3.674                        ;-40.239                       ;202104
0066060;J O DOS SANTOS DUARTE CIA LTDA                              ;FARMACIA HELIO                                              ;AV DOM JOSE TUPINAMBA DA FROTA          ;1083      ;CENTRO              ;62030490;231290;-3.6920581                    ;-40.3582585                   ;202104
0066079;B F COSTA                                                   ;FARMACIA INNOVAR                                            ;AVENIDA DOM JOSE TUPINAMBA DA FROTA     ;1479      ;CENTRO              ;62010290;231290;-3.6920581                    ;-40.3582585                   ;202104
0067121;PRISMA SERVICOS DE SAUDE E CONSULTORIA LTDA                 ;3 PRISMAS CONSULTORIA                                       ;RUA MAESTRO JOSE PEDRO                  ;204       ;CENTRO              ;62010260;231290;-3.6830851                    ;-40.3443346                   ;202104
0067245;MUNICIPIO DE ARACOIABA                                      ;LOBORATORIO DE ANALISES CLINICAS DE ARACOIABA               ;RUA GETULIO VARGAS                      ;S/N       ;CENTRO              ;62750000;230120;-4.374225510904034            ;-38.80999803543091            ;202104
0067318;EMPREENDIMENTOS PAGUE MENOS S A                             ;PAGUE MENOS DIOGO GOMES                                     ;RUA CORONEL DIOGO GOMES                 ;1052      ;CENTRO              ;62010150;231290;-3.6864058                    ;-40.3526225                   ;202104
0067326;C A DE SOUSA REZENDE                                        ;CLINICA DE OLHOS DR REZENDE                                 ;AVENIDA DOM JOSE TUPINAMBA DA FROTA     ;946       ;CENTRO              ;62010290;231290;-3.6920581                    ;-40.3582585                   ;202104
0067334;VIVAT VACINAS E ASSISTENCIA MEDICA LTDA                     ;VIVAT VACINAS                                               ;AVENIDA MONSENHOR ALOISIO PINTO         ;300       ;DOM EXPEDITO        ;62050255;231290;-3.6975661                    ;-40.3483881                   ;202104
0067342;GOMES FERNANDES PRODUTOS FARMACEUTICOS LTDA                 ;FARMACIA FERNANDES                                          ;RUA VIRIATO DE MEDEIROS                 ;1019      ;CENTRO              ;62011063;231290;-3.6879879                    ;-40.3520093                   ;202104
0067350;JOSE WILTON LEITE SOBRINHO                                  ;DR WILTON LEITE CLINICA ODONTOLOGICA                        ;TRAVESSA NIVA SELMA                     ;155       ;CENTRO              ;63150000;230270;-7.0725983                    ;-40.3754053                   ;202104
0067504;MS ATIVIDADES DE MEDICINA ORAL E ESTETICA FACIAL LTDA       ;ORAL MEDC                                                   ;V CJ JEREISSATI II                      ;852       ;JEREISSATI II       ;61901100;230765;-3.877                        ;-38.626                       ;202104
0067644;LARVA LABORATORIO REGIONAL NORTE EIRELI                     ;LARVA LABORATORIO                                           ;MAJOR BARRETO                           ;1433      ;CENTRO              ;62600000;230630;-3.6860071809790695           ;-39.58378851413727            ;202104
0070696;MUNICIPIO DE MILAGRES                                       ;POLICLINICA MUNICIPAL DR PLINIO MATOS CAVALCANTE            ;AVENIDA PEDRO LEITE DA CUNHA            ;S/N       ;EUCALIPTOS          ;63250000;230830;-7.3136741                    ;-38.9491039                   ;202104
0070793;OSMAR JOAQUIM SOUSA FILHO                                   ;CLINICA DR OSMAR JOAQUIM                                    ;RUA DOMINGOS PAULINO                    ;1437      ;CENTRO              ;62680000;231020;-3.412309704487391            ;-39.02872681617737            ;202104
0071145;CENTRO DE ENDOSCOPIA LEONANDO DA VINCI LTDA                 ;CENTRO DE ENDOSCOPIA LEONANDO DA VINCI                      ;RUA ROCHA LIMA                          ;1563      ;ALDEOTA             ;60135285;230440;-3.740055                     ;-38.510027                    ;202104
0071161;MARCIA CHAGAS DO NASCIMENTO                                 ;MARCIA CHAGAS DO NASCIMENTO                                 ;AVENIDA HUMBERTO MONTE                  ;2929      ;PICI                ;60440593;230440;-3.737374                     ;-38.569605                    ;202104
0072079;MUNICIPIO DE JUAZEIRO DO NORTE SECRETARIA DE SAUDE          ;UNIDADE BASICA DE SAUDE PEDRO ANDERSON GOMES PAIVA          ;RUA PROJETADA 11                        ;S/N       ;BETOLANDIA          ;63010970;230730;-7.213                        ;-39.315                       ;202104
0072095;MUNICIPIO DE JUAZEIRO DO NORTE SECRETARIA DE SAUDE          ;UNIDADE BASICA DE SAUDE BETOLANDIA II                       ;RUA FAUSTO GUIMARAES                    ;S/N       ;BETOLANDIA          ;63010970;230730;-7.213                        ;-39.315                       ;202104
0072974;PREFEITURA MUNICIPAL DE NOVA RUSSAS                         ;CASA DA MULHER                                              ;TABELIAO TEMOTEO FERREIRA CHAVES        ;1486      ;CENTRO              ;62200000;230930;-4.7022681807701066           ;-40.565364360809326           ;202104
0073466;CAMILA GOMES BASTOS CRUZ                                    ;ODONTO IMAGENS                                              ;PEDRO GOMES DA ROCHA                    ;546       ;CENTRO              ;61600120;230370;-3.733                        ;-38.656                       ;202104
0074608;CHAVES PINHEIRO CLINICA DE ESPECIALIDADES MEDICAS LTDA      ;CLIMAR MEDICINA E MAIS SAUDE                                ;VI CJ JEREISSATI I                      ;429       ;JEREISSATI I        ;61900670;230765;-3.877                        ;-38.626                       ;202104
0074969;PREF M PACATUBA                                             ;CENTRO DE ATENCAO PSICOSSOCIAL CAPS II                      ;RUA URBANO PINHEIRO                     ;S/N       ;PIRIPAU             ;61801445;230970;-3.984                        ;-38.62                        ;202104
0075000;PREF M PACATUBA                                             ;CENTRO DE ATENCAO PSICOSSOCIAL IFANTO JUVENIL CAPSI         ;RUA 2                                   ;S/N       ;VILA DAS FLORES     ;61814584;230970;-3.9985505                    ;-38.6226716                   ;202104
0077690;PREFEITURA MUNICIPAL DE ARACOIABA                           ;PONTO DE APOIO DA EQUIPE SAUDE DA FAMILIA EM AGROVILA       ;AGROVILA                                ;S/N       ;ZONA RURAL          ;62750000;230120;-4.371                        ;-38.814                       ;202104
0078042;LABORATORIO CLEMENTINO FRAGA LTDA                           ;LABORATORIO CLEMENTINO FRAGA                                ;MARIA CONRADO DE LIMA                   ;135       ;CENTRO              ;62880135;230523;-4.099                        ;-38.4996                      ;202104
0079596;CENTRO CLINICO PLASFRAN LTDA                                ;CENTRO CLINICO PLASFRAN                                     ;RUA MENINO DEUS                         ;513       ;CENTRO              ;62010310;231290;-3.6876407                    ;-40.3465629                   ;202104
0079618;DAVI HELDER JUNIOR EIRELI                                   ;CENDIS CENTRO DE ENDOCRINOLOGIA E DIABETES DE SOBRAL        ;AVENIDA LUCIA SABOIA                    ;823       ;CENTRO              ;62010830;231290;-3.6903153                    ;-40.3531466                   ;202104
0079626;NEW ODONTO SERVICOS ODONTOLOGICOS EIRELI                    ;CLINICA NEW ODONTO SOBRAL                                   ;AVENIDA LUCIA SABOIA                    ;255       ;CENTRO              ;62010830;231290;-3.6903153                    ;-40.3531466                   ;202104
