codigo_municipio;descricao;macrorregiao;cres;regiao_metropolitana;referencia
230010;ABAIARA                                 ;3;19;N;201912
230015;ACARAPE                                 ;1;3;N;201912
230020;ACARAU                                  ;2;12;N;201912
230030;ACOPIARA                                ;3;18;N;201912
230040;AIUABA                                  ;4;14;N;201912
230050;ALCANTARAS                              ;2;11;N;201912
230060;ALTANEIRA                               ;3;20;N;201912
230070;ALTO SANTO                              ;5;10;N;201912
230075;AMONTADA                                ;1;6;N;201912
230080;ANTONINA DO NORTE                       ;3;20;N;201912
230090;APUIARES                                ;1;2;N;201912
230100;AQUIRAZ                                 ;1;1;S;201912
230110;ARACATI                                 ;5;7;N;201912
230120;ARACOIABA                               ;1;4;N;201912
230125;ARARENDA                                ;2;15;N;201912
230130;ARARIPE                                 ;3;20;N;201912
230140;ARATUBA                                 ;1;4;N;201912
230150;ARNEIROZ                                ;4;14;N;201912
230160;ASSARE                                  ;3;20;N;201912
230170;AURORA                                  ;3;19;N;201912
230180;BAIXIO                                  ;3;17;N;201912
230185;BANABUIU                                ;4;8;N;201912
230190;BARBALHA                                ;3;21;N;201912
230195;BARREIRA                                ;1;3;N;201912
230200;BARRO                                   ;3;19;N;201912
230205;BARROQUINHA                             ;2;16;N;201912
230210;BATURITE                                ;1;4;N;201912
230220;BEBERIBE                                ;1;22;N;201912
230230;BELA CRUZ                               ;2;12;N;201912
230240;BOA VIAGEM                              ;4;5;N;201912
230250;BREJO SANTO                             ;3;19;N;201912
230260;CAMOCIM                                 ;2;16;N;201912
230270;CAMPOS SALES                            ;3;20;N;201912
230280;CANINDE                                 ;4;5;N;201912
230290;CAPISTRANO                              ;1;4;N;201912
230300;CARIDADE                                ;4;5;N;201912
230310;CARIRE                                  ;2;11;N;201912
230320;CARIRIACU                               ;3;21;N;201912
230330;CARIUS                                  ;3;18;N;201912
230340;CARNAUBAL                               ;2;13;N;201912
230350;CASCAVEL                                ;1;22;S;201912
230360;CATARINA                                ;3;18;N;201912
230365;CATUNDA                                 ;2;11;N;201912
230370;CAUCAIA                                 ;1;2;S;201912
230380;CEDRO                                   ;3;17;N;201912
230390;CHAVAL                                  ;2;16;N;201912
230393;CHORO                                   ;4;8;N;201912
230395;CHOROZINHO                              ;1;22;S;201912
230400;COREAU                                  ;2;11;N;201912
230410;CRATEUS                                 ;2;15;N;201912
230420;CRATO                                   ;3;20;N;201912
230423;CROATA                                  ;2;13;N;201912
230425;CRUZ                                    ;2;12;N;201912
230426;DEPUTADO IRAPUAN PINHEIRO               ;3;18;N;201912
230427;ERERE                                   ;5;10;N;201912
230428;EUSEBIO                                 ;1;1;S;201912
230430;FARIAS BRITO                            ;3;20;N;201912
230435;FORQUILHA                               ;2;11;N;201912
230440;FORTALEZA                               ;1;1;S;201912
230445;FORTIM                                  ;5;7;N;201912
230450;FRECHEIRINHA                            ;2;11;N;201912
230460;GENERAL SAMPAIO                         ;1;2;N;201912
230465;GRACA                                   ;2;11;N;201912
230470;GRANJA                                  ;2;16;N;201912
230480;GRANJEIRO                               ;3;21;N;201912
230490;GROAIRAS                                ;2;11;N;201912
230495;GUAIUBA                                 ;1;3;S;201912
230500;GUARACIABA DO NORTE                     ;2;13;N;201912
230510;GUARAMIRANGA                            ;1;4;N;201912
230520;HIDROLANDIA                             ;2;11;N;201912
230523;HORIZONTE                               ;1;22;S;201912
230526;IBARETAMA                               ;4;8;N;201912
230530;IBIAPINA                                ;2;13;N;201912
230533;IBICUITINGA                             ;4;8;N;201912
